name,time,way,amounts_of_money,site,deal_type,consumption_detail,consumption_type
长沙地铁,2022/1/3 14:57,1,10,1,2,2,1
转账收款,2022/1/3 15:53,1,8,1,1,1,2
蜜雪冰城,2022/1/4 20:36,1,5.89,1,2,2_6,3
戴尔官方旗舰店,2022/1/5 17:05,1,25,1,2,1,4
长沙地铁,2022/1/5 18:55,1,10,1,2,2,1
湘味粉面馆,2022/1/5 19:02,1,7,1,2,1_2_3,3
开心铁板屋,2022/1/6 12:55,1,9.9,1,2,1_2_5,3
新语水果超市,2022/1/8 18:01,1,12.8,1,2,8,4
长沙地铁,2022/1/12 21:34,1,10,1,2,2,1
板栗皇烤红薯,2022/1/14 17:26,1,14.75,1,2,2_7,3
转账收款,2022/1/15 13:45,1,54,1,1,1,2
转账收款,2022/1/17 16:25,1,30,2,1,1,2
腾讯视频VIP,2022/1/21 18:46,1,12.5,2,2,2,4
占峰卤肉,2022/1/23 20:01,1,7,2,2,1_2,3
兰蔻大粉水小样,2022/1/26 22:18,1,23,2,2,8,4
瑷尔博士面膜,2022/1/26 22:26,1,38,2,2,3,4
红包,2022/2/1 0:56,1,1.88,2,1,0,0
编织腰带,2022/2/4 11:52,1,11.55,2,2,0,5
羽毛球拍手胶带,2022/2/15 22:21,1,5.9,2,2,0,4
羽毛球,2022/2/15 22:23,1,16,2,2,1,4
小雏菊花种子,2022/2/16 22:04,1,11.6,2,2,1,6
栀子花种子,2022/2/16 22:06,1,9.6,2,2,1,6
电商快递,2022/2/17 16:54,1,9.85,2,2,0,0
飞利浦拓展坞,2022/2/23 14:05,1,219,1,2,1,4
悟空有货工装马甲,2022/2/23 13:29,1,69,1,2,1,5
手机壳,2022/2/23 17:36,1,12.42,1,2,0,4
多功能纸巾盒,2022/2/23 23/14,1,32.89,1,2,0,4
长沙地铁,2022/2/24 9:30,1,9,1,2,2,1
一卡通,2022/2/25 17:37,1,9,1,2,1,1
湖南师范大学食堂,2022/2/26 13:07,1,13,1,2,1_2_5,3
转账付款,2022/2/27 2:04,1,204,1,2,0,6
三顾冒菜馆,2022/2/27 13:52,1,18.07,1,2,1_2_3,3
印象坊,2022/2/27 17:12,1,165,1,2,4,5
湖南师范大学食堂,2022/2/27 18:39,1,4.5,1,2,6,3
恰货铺子,2022/2/28 11:13,1,4.6,1,2,7,3
一卡通,2022/2/28 17:12,1,9,1,2,1,1
湖南师范大学食堂,2022/2/28 17:25,1,4.5,1,2,6,3
宿舍电费,2022/3/1 18:43,1,100,1,2,1,4
开心铁板烧,2022/3/2 11:57,1,12,1,2,1_2_5,3
U净洗衣,2022/3/2 22:18,1,5.98,1,2,1,4
潇湘卡,2022/3/3 9:22,1,10,1,2,1,1
北京黑狗科技,2022/3/3 10:35,1,20,1,1,0,0
潇湘卡,2022/3/3 11:39,1,10,1,2,1,1
一卡通,2022/3/3 11:39,1,9,1,2,1,1
香酥鸡蛋灌饼,2022/3/3 17:59,1,9,1,2,2_3,3
金丝牛肉饼,2022/3/3 18:28,1,6,1,2,1_3,3
湖南师范大学食堂,2022/3/3 22:20,1,26.8,1,2,1,3
湖南师范大学食堂,2022/3/4 17:20,1,14.2,1,2,1,3
湖南师范大学食堂,2022/3/4 22:32,1,13.3,1,2,1_3,3
新雨水果超市,2022/3/3 22:33,1,8.7,1,2,8,3
美团,2022/3/5 11:43,1,11.96,1,2,1,3
油盐街面包,2022/3/5 15:49,1,5.97,1,2,2_7,3
湖南师范大学食堂,2022/3/5 15:52,1,10,1,2,1_3,3
油盐街面包,2022/3/5 18:16,1,6,1,2,2_7,3
三禾渔粉,2022/3/6 12:21,1,10.5,1,2,1_4,3
深圳航空,2022/3/6 17:59,1,490,1,2,5,1
伴伴面馆,2022/3/6 18:17,1,14,1,2,3,3
恰货铺子,2022/3/6 19:54,1,23.22,1,2,7,3
到店付款攒现金,2022/3/6 19:54,1,6,1,1,0,0
高德地图打车,2022/3/7 11;08,1,10.87,1,2,4,1
火车票,2022/3/7 12:35,1,216,1,2,6,1
美团,2022/3/7 13:04,1,19.7,1,2,1,3
给商家付款,2022/3/7 15:38,1,3.48,1,2,7,3
东北饺子馆,2022/3/9 11:03,1,11.74,1,2,1_3,3
蜜雪冰城,2022/3/9 11:03,1,8,1,2,6,3
吴满满的油泼面,2022/3/11 12:24,1,14.76,1,2,1_3,3
一卡通,2022/3/11 17:09,1,1.5,1,2,1,1
U净洗衣,2022/3/11 18:58,1,1.18,1,2,1,3
给商家付款,2022/3/12 18:42,1,10,1,2,1,3
蜜雪冰城,2022/3/12 19:03,1,8.88,1,2,6,3
美团,2022/3/13 11:09,1,19.8,1,2,1_5,3
天马牛肉饼,2022/3/14 21:23,1,6,1,2,1,3
给商家付款,2022/3/15 13:03,1,13.75,1,2,1,3
美团,2022/3/15 17:55,1,88,1,2,0,0
美团,2022/3/13 11:09,1,84,1,2,0,0
潇湘卡,2022/3/15 19:26,1,20,1,2,1,1
油盐街面包,2022/3/15 19:44,1,5.84,1,2,2_7,3
给商家付款,2022/3/16 19:46,1,14.82,1,2,1_4,3
新语水果超市,2022/3/16 17:15,1,9.28,1,2,8,3
华夫格卫衣,2022/3/16 20:12,1,78.88,1,2,1,5
CET6考试费,2022/3/17 18:03,1,28,1,2,3,6
一卡通,2022/3/17 18:17,1,10.34,1,2,1,1
美团,2022/3/18 18:50,1,8.8,1,2,6,3
金丝牛肉饼,2022/3/18 18:58,1,11.5,1,2,1,3
绿叶水果,2022/3/18 18:58,1,3.7,1,2,8,3
板栗皇烤红薯,2022/3/18 19:00,1,9.96,1,2,7,3
新语水果超市,2022/3/18 19:15,1,19,1,2,8,3
给商家付款,2022/3/19 11:34,1,13.84,1,2,7,3
恰货铺子,2022/3/21 18:23,1,18.76,1,2,7,3
三禾渔粉,2022/3/22 11:04,1,12,1,2,1_4,3
给商家付款,2022/3/22 17:53,1,10,1,2,1,3
一只酸奶牛,2022/3/22 18:26,1,12,1,2,6,3
U净洗衣,2022/3/23 12:25,1,1.5,1,2,1,4
给商家付款,2022/3/23 12:28,1,40,1,2,0,4
天马牛肉饼,2022/3/23 18:24,1,12,1,2,1,3
生鲜水果超市,2022.3.23 18:35,1,10,1,2,8,3
湖南餐饮,2022.3.24 12:28,1,18,1,2,1_4,3
潇湘卡,2022/3/24 12:48,1,30,1,2,1,1
蔡记手工面粉馆,2022/3/24 17:16,1,9.95,1,2,3,3
湖南师范大学食堂,2022/3/24 21:31,1,7,1,2,3,3
三禾渔粉,2022/3/25 11:42,1,10.5,1,2,4,3
天马牛肉饼,2022/3/25 18:01,1,6,1,2,1,3
美团,2022/3/25 18:23,1,4.3,1,2,6,3
美团,2022/3/25 18:24,1,15.9,1,2,4,3
